Filename,Barcode,Barcode,Family,Subfamily,Genus,Species,Genus_species,Collection Date,Collection Date,Country,State or Province,County,City,Locality,Latitude,Longitude,Image Source,Notes,Brightness Mean,Brightness Median,Brightness Standard Deviation,bee_surface area,hair_surface_area,pilosity,pilosity_percentage
SM0016689_Nanorhathymus_acutiventris_F_hal_65_1x.jpg,SM0016689,16689,Apidae,Nomadinae,Nanorhathymus,acutiventris,Nanorhathymus_acutiventris,6/2/96,6/2/96,Panama,NA,NA,Colón,Escobal & Pina Rds; 14 km N jct.,9.36,-79.9,KU,NA,93.53877258,85,62.94420242,2074311,1480199,71.36%,71.36
SM0035042_Meliwillea_bivea_F_hal_65_2x.jpg,SM0035042,35042,Apidae,Apinae,Meliwillea,bivea,Meliwillea_bivea,6/17/96,6/17/96,NA,NA,NA,NA,NA,8.9,-82.7166667,KU,NA,66.69155884,49,58.86972427,1990716,553467,27.80%,27.8
SM0044598_Chlerogelloides_simplex_F_hal_65_3x.jpg,SM0044598,44598,Halictidae,Halictinae,Chlerogelloides,simplex,Chlerogelloides_simplex,5/25/97,5/25/97,NA,NA,NA,NA,NA,4.6666667,-52.2166667,KU,NA,104.120575,97,66.00996399,3016354,2063630,68.41%,68.41
SM0044615_Chlerogelloides_femoralis_F_hal_65_3x.jpg,SM0044615,44615,Halictidae,Halictinae,Chlerogelloides,femoralis,Chlerogelloides_femoralis,6/4/97,6/4/97,NA,NA,NA,NA,NA,3.65,-53.2166667,KU,NA,102.0878067,96,62.88316345,3053967,2119270,69.39%,69.39
SM0087257_Aparatrigona_impunctata_F_hal_65_3x.jpg,SM0087257,87257,Apidae,Apinae,Paratrigona,impunctata,Paratrigona_impunctata,NA,NA,NA,NA,NA,NA,NA,4.6333333,-52.3,KU,NA,79.45365143,68,58.86763763,3229741,1533953,47.49%,47.49
SM0092054_Aglae_caerulea_F_hal_65_1x.jpg,SM0092054,92054,Apidae,Apinae,Aglae,caerulea,Aglae_caerulea,5/29/97,5/29/97,NA,NA,NA,NA,NA,4.6666667,-52.2166667,KU,NA,49.23258591,30,51.74842072,6705575,982267,14.65%,14.65
SM0108602_Corynurella_decora_F_hal_65_3x.jpg,SM0108602,108602,Halictidae,Halictinae,Corynurella,decora,Corynurella_decora,2/1/99,2/1/99,NA,NA,NA,NA,NA,-17.1088889,-65.6866667,KU,NA,74.47958374,66,49.84060669,5709623,2080212,36.43%,36.43
SEMC118057_Xeralictus_bicaspidariae_F_hal_65_3x.jpg,SEMC118057,118057,Halictidae,Rophitinae,Xeralictus,bicaspidariae,Xeralictus_bicaspidariae,6/19/70,6/19/70,USA,Idaho,NA,Franklin,NA,42,-112,KU,NA,76.37262726,69,50.81140518,8369668,3037926,36.30%,36.3
SM0122224_Chilicola_espeleticola_F_hal_65_4x.jpg,SM0122224,122224,Colletidae,Xeromelissinae,Chilicola,espeleticola,Chilicola_espeleticola,5/26/98,5/26/98,NA,NA,NA,NA,NA,8.8513889,-70.80944444,KU,NA,67.38430023,55,50.03208542,5654898,1331724,23.55%,23.55
SEMC129473_Chalepogenus_caeruleus_F_hal_65_2x.jpg,SEMC129473,129473,Apidae,Apinae,Chalepogenus,caeruleus,Chalepogenus_caeruleus,NA,NA,NA,NA,NA,NA,NA,-17.8255556,-64.6525,KU,NA,48.89350128,28,54.96743393,4406972,595526,13.51%,13.51
