associatedReferences,verbatimTaxonRank,acceptedNameUsageID,traitName,measurementType,measurementTypeID,measurementMethod,measurementRemarks,recordLevel,measurementValue,valueSummary,measurementUnit,sampleSizeValue,variance,varianceMeasure,recordNumber,catalogNumber,verbatimEventDate,eventDate,sex,lifeStage,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,stateProvince,county,habitat
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Indianthidium_crenulaticauda,gbif:1334179,pilosity,hair coverage,http://purl.obolibrary.org/obo/HAO_0001990,percent hair coverage quantified via segmentation of lateral habitus images,NA,individual,31.95,single observation,NA,NA,NA,NA,NA,SEMC1519471,1959-01-20,1959-01-20,female,adult,NA,18.75275,73.40575,18.75275,73.40575,NA,NA,NA,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Indianthidium_crenulaticauda,gbif:1334179,lightness,body lightness,NA,median pixel lightness of body,NA,individual,52,single observation,NA,NA,NA,NA,NA,SEMC1519471,1959-01-20,1959-01-20,female,adult,NA,18.75275,73.40575,18.75275,73.40575,NA,NA,NA,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Stelis_montana,gbif:1334299,pilosity,hair coverage,http://purl.obolibrary.org/obo/HAO_0001990,percent hair coverage quantified via segmentation of lateral habitus images,NA,individual,21.69,single observation,NA,NA,NA,NA,NA,UCSB-IZC00035423,2018-05-27,2018-05-27,female,adult,Inspiration Point,34.4676,-119.7696,34.4676,-119.7696,NA,USA,California,Santa Barbara,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Stelis_montana,gbif:1334299,lightness,body lightness,NA,median pixel lightness of body,NA,individual,73,single observation,NA,NA,NA,NA,NA,UCSB-IZC00035423,2018-05-27,2018-05-27,female,adult,Inspiration Point,34.4676,-119.7696,34.4676,-119.7696,NA,USA,California,Santa Barbara,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Pachyanthidium_bouyssoui,gbif:1334307,pilosity,hair coverage,http://purl.obolibrary.org/obo/HAO_0001990,percent hair coverage quantified via segmentation of lateral habitus images,NA,individual,57.21,single observation,NA,NA,NA,NA,NA,SEMC1322896,2015-04-17,2015-04-17,female,adult,NA,0.5,25.1666667,0.5,25.1666667,NA,NA,NA,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Pachyanthidium_bouyssoui,gbif:1334307,lightness,body lightness,NA,median pixel lightness of body,NA,individual,64,single observation,NA,NA,NA,NA,NA,SEMC1322896,2015-04-17,2015-04-17,female,adult,NA,0.5,25.1666667,0.5,25.1666667,NA,NA,NA,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Pachyanthidium_cordatum,gbif:1334316,pilosity,hair coverage,http://purl.obolibrary.org/obo/HAO_0001990,percent hair coverage quantified via segmentation of lateral habitus images,NA,individual,60.44,single observation,NA,NA,NA,NA,NA,SEMC1322900,1967-01-13,1967-01-13,female,adult,NA,-28.5,30.9,-28.5,30.9,NA,South Africa,KwaZulu-Natal,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Pachyanthidium_cordatum,gbif:1334316,lightness,body lightness,NA,median pixel lightness of body,NA,individual,84,single observation,NA,NA,NA,NA,NA,SEMC1322900,1967-01-13,1967-01-13,female,adult,NA,-28.5,30.9,-28.5,30.9,NA,South Africa,KwaZulu-Natal,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Notanthidium_rudolphi,gbif:1334357,pilosity,hair coverage,http://purl.obolibrary.org/obo/HAO_0001990,percent hair coverage quantified via segmentation of lateral habitus images,NA,individual,62.5,single observation,NA,NA,NA,NA,NA,SEMC1322673,1944-12-20,1944-12-20,female,adult,NA,-33.57594,-70.4507,-33.57594,-70.4507,NA,NA,NA,NA,NA
"Ostwald MM, Chen K, Alexander N, Ding L, Gonzalez VH, Seltmann KC. 2025. Climate explains global functional trait variation in bees. ",Notanthidium_rudolphi,gbif:1334357,lightness,body lightness,NA,median pixel lightness of body,NA,individual,92,single observation,NA,NA,NA,NA,NA,SEMC1322673,1944-12-20,1944-12-20,female,adult,NA,-33.57594,-70.4507,-33.57594,-70.4507,NA,NA,NA,NA,NA
