Filename,Barcode,Family,Subfamily,Genus,Species,Genus_species,GBIF ID,Country,State or Province,County,City,Locality,Latitude,Longitude,Image Source,Notes,Brightness Mean,Brightness Median,Brightness Standard Deviation,bee_surface area,hair_surface_area,pilosity,pilosity_percentage
SM0326478_Alcoandrena_porteri_F_hal_65_2x.jpg,SM0326478,Andrenidae,Alocandreninae,Alocandrena,porteri,Alocandrena_porteri,gbif:1355901,,,,,,-11.88472,-76.43972,KU,,91.02455139,76,66.7780304,6814076,3089231,45.34%,45.34
SM0392399_Ancylandrena_larreae_F_hal_65_2x.jpg,SM0392399,Andrenidae,Andreninae,Ancylandrena,larreae,Ancylandrena_larreae,gbif:1356672,,,,,,33.02306,-114.6103,KU,,87.77386475,76,65.30753326,6614158,3147325,47.58%,47.58
SM0392063_Ancylandrena_timberlakei_F_hal_65_2x.jpg,SM0392063,Andrenidae,Andreninae,Ancylandrena,timberlakei,Ancylandrena_timberlakei,gbif:1356671,,,,,,32.57406,-112.86,KU,,105.0071411,95,69.99198151,3568157,1997649,55.99%,55.99
Andrena_simplex.jpg,,Andrenidae,Andreninae,Andrena,simplex,Andrena_simplex,gbif:,USA,Virginia,Westmoreland,,,38.1,-76.8,USGS,,66.9552536,55,48.66452026,4734819,1206750,25.49%,25.49
Andrena_rehni.jpg,,Andrenidae,Andreninae,Andrena,rehni,Andrena_rehni,gbif:,USA,Connecticut,New Haven,,,41.3,-72.8,USGS,,90.36191559,73,62.12945938,4941597,1699043,34.38%,34.38
Andrena_gnaphalii.jpg,,Andrenidae,Andreninae,Andrena,gnaphalii,Andrena_gnaphalii,gbif:1357627,USA,California,Santa Barbara,,,34.6,-120,USGS,,87.11026764,76,60.25432205,4850940,2569200,52.96%,52.96
SEMC1007082_Arhysosage_ochracea_F_hal_65_3x.jpg,SEMC1007082,Andrenidae,Andreninae,Arhysosage,ochracea,Arhysosage_ochracea,,,,,,,4.6,-52.2166667,KU,,102.7564011,92,69.66780853,5027516,3023153,60.13%,60.13
SM0402206_Megandrena_mentzeliae_F_hal_65_2x.jpg,SM0402206,Andrenidae,Andreninae,Megandrena,mentzeliae,Megandrena_mentzeliae,,,,,,,,,KU,,127.691658,128,73.78710175,6964682,4839589,69.49%,69.49
SM0402246_Megandrena_enceliae_F_hal_65_2x.jpg,SM0402246,Andrenidae,Andreninae,Megandrena,enceliae,Megandrena_enceliae,,,,,,,34.5,-114.7333333,KU,,115.50383,115,67.58473969,8105743,5759756,71.06%,71.06
Protandrena_abdominalis.jpg,,Andrenidae,Andreninae,Protandrena,abdominalis,Protandrena_abdominalis,,USA,Texas,Colorado,,,29.5,-96.5,USGS,,52.02780533,33,53.6251297,7088270,1380729,19.48%,19.48
