Position	Filename	Barcode	Family	Subfamily	Genus	Species	Genus_species	GBIF.ID	Country	State.or.Province	County	City	Locality	Image.Source	Notes	Brightness.Mean	Brightness.Median	Brightness.Standard.Deviation	bee_surface.area	hair_surface_area	pilosity	pilosity_percentage	abs_latitude	Taxonomic_Info	precip_annual	precip_seasonality	vapr	srad	tmin_coldest_month	temp_annual	temp_seasonality	tmax_hottest_month	sqrt_precip_annual	log_precip_seasonality	sqrt_temp_seasonality	sqrt_lightness	wwf_biome	collapsed_biomes	geometry	
1	SM0430107_Hexepeolus_rhodogyne_F_hal_65_2x.jpg	SM0430107	Apidae	Nomadinae	Hexepeolus	rhodogyne	Hexepeolus_rhodogyne							KU		79.05101776	66	58.71450043	3881194	1380889	35.58%	35.58	36.7953	Hexepeolus_rhodogyne~Apidae~Nomadinae~Hexepeolini	152	52.28129047	0.710000003	18.90941667	23.39999962	19.63333313	905.3611265	41.29999924	12.32882801	3.956638572	30.08921944	8.124038405	13	Deserts & Xeric Shrublands	c(-114.0792	 36.7953)
2	SEMC0988599_Capicola_braunsiana_F_hal_65_3x.jpg	SEMC0988599	Melittidae	Dasypodainae	Capicola	braunsiana	Capicola_braunsiana		South Africa	Eastern Cape		Willowmore		KU		101.1354523	91	68.67273712	6835337	3754854	54.93%	54.93	33.3	Capicola_richtersveldensis~Melittidae~Dasypodainae~Hesperapini	350	95.61602503	1.05416667	18.71916667	15.10000038	15.9416666	448.7651388	28.89999962	18.70828693	4.560340432	21.18407748	9.539392014	13	Deserts & Xeric Shrublands	c(23.5	 -33.3)
3	SM0324946_Protoxaea_gloriosa_F_hal_65_1x.jpg	SM0324946	Andrenidae	Oxaeinae	Protoxaea	gloriosa	Protoxaea_gloriosa							KU		88.47312164	74	70.83074188	5099214	2596530	50.92%	50.92	26.7816667	Protoxaea_gloriosa~Andrenidae~Oxaeinae~na	355	296.2633452	1.046666657	17.42	17.29999924	18.37500032	573.1432436	34	18.84144368	5.691248738	23.94041026	8.602325267	13	Deserts & Xeric Shrublands	c(-104.5255556	 26.7816667)
4	SEMC1075931_Halictonomia_decemmaculata_F_hal_65_4x.jpg	SEMC1075931	Halictidae	Nomiinae	Halictonomia	decemmaculata	Halictonomia_decemmaculata		Madagascar	Menabe		Morondava		KU		90.87752533	79	61.8119278	5930586	3761720	63.43%	63.43	20.3	Halictonomia	790	893.2151663	2.422500014	21.09416667	23.89999962	25.71666654	238.1685336	32.79999924	28.10693865	6.7948275	15.43270986	8.888194417	13	Deserts & Xeric Shrublands	c(44.3	 -20.3)
5	LACM-ENT247823_3x_hal.jpg	LACM-ENT247823	Melittidae	Dasypodainae	Hesperapis	larreae	Hesperapis_larreae							LACM		92.86664581	89	53.24251175	3241366	1408856	43.46%	43.46	33.81	Hesperapis_larreae~Melittidae~Dasypodainae~Hesperapini	257	111.8812953	0.801666662	19.6855	23.29999924	20.64999994	810.8413034	40.70000076	16.03121954	4.717438446	28.4752753	9.433981132	13	Deserts & Xeric Shrublands	c(-113.06	 33.81)
6	SM0307792_Ericrocis_lata_F_hal_65_1x.jpg	SM0307792	Apidae	Apinae	Ericrocis	lata	Ericrocis_lata							KU		96.45389557	82	69.84368134	3729203	1946342	52.19%	52.19	26.6833333	Ericrocis_lata~Apidae~Nomadinae~Ericrocidini	252	161.1887657	1.159999986	17.044	18.29999924	20.20000013	556.7274416	35.59999847	15.87450787	5.082576136	23.5950724	9.055385138	13	Deserts & Xeric Shrublands	c(-103.6	 26.6833333)
7	SM0743491_Martinapis_luteicornis_F_hal_65_1x.jpg	SM0743491	Apidae	Apinae	Martinapis	luteicornis	Martinapis_luteicornis		USA	New Mexico		Lincoln		KU		96.27506256	90	60.03287125	3836352	2256844	58.83%	58.83	33.5	Martinapis_luteicornis~Apidae~Eucerinae~Eucerini	327	196.6133723	0.814166658	19.26425	17.39999962	14.74166675	782.1933908	33.29999924	18.08314132	5.281239223	27.96772051	9.486832981	13	Deserts & Xeric Shrublands	c(-105	 33.5)
8	SM0724476_Hesperapis_rhodocerata_F_hal_65_2x.jpg	SM0724476	Melittidae	Dasypodainae	Hesperapis	rhodocerata	Hesperapis_rhodocerata							KU		97.16039276	86	70.35012054	5061004	2758236	54.50%	54.5	31.94889	Hesperapis_larreae~Melittidae~Dasypodainae~Hesperapini	314	194.1336622	0.764999993	19.367	17.20000076	15.71666662	756.4129727	35.09999847	17.72004515	5.268546902	27.50296298	9.273618495	13	Deserts & Xeric Shrublands	c(-108.8067	 31.94889)
9	SM0430292_Townsendiella_pulchra_F_hal_65_4x.jpg	SM0430292	Apidae	Nomadinae	Townsendiella	pulchra	Townsendiella_pulchra							KU		107.4214096	109	57.9740181	3891337	2126396	54.64%	54.64	32.25	Townsendiella_pulchra~Apidae~Nomadinae~Neolarrini	313	164.50799	0.849166666	19.25433333	23.79999924	20.80833324	743.8897467	37.90000153	17.69180601	5.102959141	27.27434228	10.44030651	13	Deserts & Xeric Shrublands	c(-110.8833333	 32.25)
10	SEMC1168007_Eucondylops_reducta_F_hal_65_3x.jpg	SEMC1168007	Apidae	Xylocopinae	Eucondylops	reducta	Eucondylops_reducta		South Africa	Western Cape		Worcester		KU		79.87841	74	50.187378	4534821	1676987	36.98%	36.98	33.7	Eucondylops_konowi~Apidae~Xylocopinae~Allodapini	570	278.5840823	1.250833357	18.87325	16.5	17.68333332	429.7955588	30.10000038	23.87467277	5.629719925	20.73151125	8.602325267	13	Deserts & Xeric Shrublands	c(19.5	 -33.7)
